Name,URL,TH_Description,EN_Description,metadata,Type,id
CLASSIC COMFORT Beige Crew Neck Sweater,https://drive.google.com/uc?export=download&id=1p7UTPeLKbgbEMM3MQkeyjW9SFriz2_o3,"เสื้อสเวตเตอร์คอกลมสีเบจจากแบรนด์ CLASSIC COMFORT

เสื้อสเวตเตอร์แขนยาวทรงหลวม ผลิตจากผ้าเนื้อนุ่มให้ความอบอุ่นและสบายในทุกการสวมใส่ ดีไซน์สีเบจคลาสสิกตัดกับขอบสีกรมท่า เพิ่มความโดดเด่นให้กับลุคของคุณ เหมาะสำหรับใส่ในวันสบายๆ หรือในวันที่อากาศเย็น

วัสดุ: ผ้าฝ้ายผสม – เนื้อนุ่มและอบอุ่น

สี: เบจ (ขอบสีกรมท่า)

ทรง: ทรงหลวม

ปกเสื้อ: คอกลม

กระเป๋า: ไม่มี

ลายพิมพ์: ไม่มี

จุดเด่น: ดีไซน์สีเบจคลาสสิกตัดกับขอบสีกรมท่า

เหมาะสำหรับ: ใส่ในวันสบายๆ, วันที่อากาศเย็น

คำแนะนำในการดูแล: ซักมือหรือซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อนด้านใน","CLASSIC COMFORT Beige Crew Neck Sweater

This long-sleeve sweater features a loose fit crafted from soft fabric, providing warmth and comfort for any occasion. The classic beige design with navy trim adds a touch of elegance to your look, perfect for casual days or cooler weather.

Material: Cotton blend – soft and warm

Color: Beige with navy trim

Fit: Loose fit

Collar: Crew neck

Pocket: None

Print: None

Highlight: Classic beige design with navy trim

Ideal for: Casual days, cooler weather

Care Instructions: Hand wash or gentle machine wash / Avoid tumble drying / Iron on low heat inside out","{""product_name"": ""CLASSIC COMFORT Beige Crew Neck Sweater"", ""brand"": ""CLASSIC COMFORT"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Beige with navy trim"", ""material"": ""Cotton blend"", ""features"": {""fit"": ""Loose"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""None"", ""lightweight"": false, ""breathable"": true}, ""ideal_for"": [""Casual days"", ""Cooler weather""], ""care_instructions"": [""Hand wash or gentle machine wash"", ""Avoid tumble drying""], ""description"": ""This long-sleeve sweater features a loose fit crafted from soft fabric, providing warmth and comfort. The classic beige design with navy trim adds elegance, perfect for casual days or cooler weather.""}",Shirt,0
CozyWear Grey Sweatshirt,https://drive.google.com/uc?export=download&id=1sx1VrJyIiVDY6i-rAEJEcmzXZjzRBxks,"เสื้อสเวตเตอร์สีเทา จากแบรนด์ CozyWear

เสื้อสเวตเตอร์แขนยาวทรงหลวม ผลิตจากผ้าฝ้ายผสมที่ให้ความนุ่มสบายและอบอุ่น เหมาะสำหรับวันสบายๆ หรือสวมใส่ในช่วงอากาศเย็น

วัสดุ: ผ้าฝ้ายผสม – นุ่มสบายและให้ความอบอุ่น

สี: เทา

ทรง: ทรงหลวม

ปกเสื้อ: ปกกลม

กระเป๋า: ไม่มี

ลายพิมพ์: ไม่มี (สีพื้น)

จุดเด่น: ความนุ่มสบายและการให้ความอบอุ่น

เหมาะสำหรับ: ใส่ในวันสบายๆ, วันหยุด, หรือในช่วงอากาศเย็น

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อน","CozyWear Grey Sweatshirt

This long-sleeve sweatshirt features a loose fit and is crafted from a cotton blend that provides softness and warmth. Perfect for casual days or wearing in cooler weather.

Material: Cotton blend – soft and warm

Color: Grey

Fit: Loose fit

Collar: Crew neck

Pocket: None

Print: None (solid color)

Highlight: Softness and warmth

Ideal for: Casual days, holidays, or cooler weather

Care Instructions: Machine wash on gentle cycle / Avoid tumble drying / Iron on low heat","{""product_name"": ""CozyWear Grey Sweatshirt"", ""brand"": ""CozyWear"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Grey"", ""material"": ""Cotton blend"", ""features"": {""fit"": ""Loose"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""Solid"", ""lightweight"": false, ""breathable"": true}, ""ideal_for"": [""Casual days"", ""Holidays"", ""Cooler weather""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid tumble drying"", ""Iron on low heat""], ""description"": ""This long-sleeve sweatshirt from CozyWear features a loose fit and is crafted from a cotton blend that provides softness and warmth, perfect for casual days or cooler weather.""}",Shirt,1
LIFETIME Brown Striped Long-Sleeve Shirt,https://drive.google.com/uc?export=download&id=1WuYM9-EIZYDE2QqnEeVRw3Hw2KV96g1h,"เสื้อเชิ้ตลายทางสีน้ำตาลจากแบรนด์ LIFETIME

เสื้อเชิ้ตแขนยาวทรงพอดีตัว ดีไซน์ลายทางสีน้ำตาลคลาสสิกบนพื้นผ้าสีครีม ให้ลุคที่ดูเรียบง่ายแต่มีสไตล์ เหมาะสำหรับการสวมใส่ในวันสบายๆ หรือวันทำงานที่ต้องการความเป็นทางการเล็กน้อย

วัสดุ: ผ้าฝ้าย – เนื้อผ้านุ่ม ใส่สบาย

สี: ครีม (ลายทางสีน้ำตาล)

ทรง: Regular fit

ปกเสื้อ: ปกโปโล

กระเป๋า: ไม่มี

จุดเด่น: ลายทางคลาสสิก

เหมาะสำหรับ: ใส่ทำงาน, วันหยุด, หรือใส่สบายๆ ทุกวัน

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อน","LIFETIME Brown Striped Long-Sleeve Shirt

This regular-fit long-sleeve shirt from LIFETIME features a classic brown stripe design on a cream background. It offers a simple yet stylish look, perfect for casual days or slightly formal work settings.

Material: Cotton – soft and comfortable

Color: Cream with brown stripes

Fit: Regular fit

Collar: Polo collar

Pocket: None

Highlight: Classic stripe pattern

Ideal for: Work, casual outings, or everyday wear

Care Instructions: Machine wash on gentle cycle / Avoid tumble drying / Iron on low heat","{""product_name"": ""LIFETIME Brown Striped Long-Sleeve Shirt"", ""brand"": ""LIFETIME"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Cream with brown stripes"", ""material"": ""Cotton"", ""features"": {""fit"": ""Regular"", ""collar"": ""Polo collar"", ""pocket"": ""None"", ""print"": ""Stripe"", ""lightweight"": false, ""breathable"": true}, ""ideal_for"": [""Work"", ""Casual outings"", ""Everyday wear""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid tumble drying"", ""Iron on low heat""], ""description"": ""This regular-fit long-sleeve shirt from LIFETIME features a classic brown stripe design on a cream background, perfect for casual days or slightly formal work settings.""}",Shirt,2
LAFITTE Blue Striped Long-Sleeve Shirt,https://drive.google.com/uc?export=download&id=1L_X3ZPuMof7YZVFRl3havqawnP81KnT7,"เสื้อเชิ้ตลายทางสีฟ้าจากแบรนด์ LAFITTE

เสื้อเชิ้ตแขนยาวทรงหลวม ดีไซน์ลายทางสีฟ้าและน้ำเงินเข้ม เพิ่มความทันสมัยและสบายๆ ให้กับลุคของคุณ เหมาะสำหรับใส่ในวันหยุดสุดสัปดาห์หรือออกไปเดินเล่นในเมือง

วัสดุ: ผ้าฝ้าย – เนื้อสัมผัสนุ่ม ใส่สบาย

สี: ฟ้า (ลายทางน้ำเงินเข้ม)

ทรง: ทรงหลวม / สบายๆ

ปกเสื้อ: ปกโปโล

กระเป๋า: ไม่มี

จุดเด่น: ลายทางคลาสสิก

เหมาะสำหรับ: ใส่เดินเล่น, วันหยุด, หรือใส่สบายๆ ทุกวัน

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อน","LAFITTE Blue Striped Long-Sleeve Shirt

This loose-fit long-sleeve shirt from LAFITTE features a classic blue and navy striped design, adding a modern and relaxed touch to your look. Perfect for weekend outings or casual city strolls.

Material: Cotton – soft and comfortable

Color: Blue with navy stripes

Fit: Loose / Relaxed fit

Collar: Polo collar

Pocket: None

Highlight: Classic striped pattern

Ideal for: Casual outings, weekends, or everyday comfort

Care Instructions: Gentle machine wash / Avoid tumble drying / Iron on low heat","{""product_name"": ""LAFITTE Blue Striped Long-Sleeve Shirt"", ""brand"": ""LAFITTE"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Blue with navy stripes"", ""material"": ""Cotton"", ""features"": {""fit"": ""Loose"", ""collar"": ""Polo collar"", ""pocket"": ""None"", ""print"": ""Striped"", ""lightweight"": true, ""breathable"": true}, ""ideal_for"": [""Casual outings"", ""Weekends"", ""Everyday comfort""], ""care_instructions"": [""Gentle machine wash"", ""Avoid tumble drying"", ""Iron on low heat""], ""description"": ""Loose-fit long-sleeve shirt with a classic blue and navy striped design, perfect for casual outings and everyday comfort.""}",Shirt,3
LATTINE Blue and White Striped Polo Shirt,https://drive.google.com/uc?export=download&id=1UtRf-9dXhKdg7B2Ga5TBd0j2LFx6YKjO,"เสื้อเชิ้ตลายทางสีฟ้าและขาว จากแบรนด์ LATTINE

เสื้อเชิ้ตแขนสั้นทรงหลวม สไตล์ลำลองที่มีลายทางสีฟ้าและขาวบนพื้นผ้าสีครีม มาพร้อมปกเสื้อแบบโปโลและดีเทลปักโลโก้ที่หน้าอก เพิ่มความโดดเด่นและทันสมัย เหมาะสำหรับใส่ในวันสบายๆ หรือออกไปเที่ยวในเมือง

วัสดุ: ผ้าฝ้ายผสม – นุ่มสบาย ระบายอากาศดี

สี: ครีม (ลายทางสีฟ้าและขาว)

ทรง: ทรงหลวม / Oversized fit

ปกเสื้อ: ปกโปโล

กระเป๋า: ไม่มี

ลายพิมพ์: ลายทาง

จุดเด่น: ดีเทลปักโลโก้ที่หน้าอก

เหมาะสำหรับ: ใส่เที่ยวในเมือง, วันหยุด, หรือใส่สบายๆ ทุกวัน

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อนด้านใน","LATTINE Blue and White Striped Polo Shirt

This short-sleeve, relaxed-fit shirt from LATTINE features a classic blue and white stripe pattern on a cream base, complete with a polo collar and embroidered logo detail on the chest. It's the perfect blend of casual and modern, ideal for laid-back days or urban outings.

Material: Cotton blend – soft and breathable

Color: Cream with blue and white stripes

Fit: Oversized / Relaxed fit

Collar: Polo collar

Pocket: None

Print: Striped

Highlight: Embroidered logo detail on the chest

Ideal for: Urban outings, holidays, or everyday comfort

Care Instructions: Gentle machine wash / Avoid tumble drying / Iron on low heat inside out","{""product_name"": ""LATTINE Blue and White Striped Polo Shirt"", ""brand"": ""LATTINE"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Short-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Cream with blue and white stripes"", ""material"": ""Cotton blend"", ""features"": {""fit"": ""Oversized"", ""collar"": ""Polo collar"", ""pocket"": ""None"", ""print"": ""Striped"", ""lightweight"": true, ""breathable"": true}, ""ideal_for"": [""Urban outings"", ""Casual holidays"", ""Everyday wear""], ""care_instructions"": [""Gentle machine wash"", ""Avoid tumble drying"", ""Iron on low heat inside out""], ""description"": ""This relaxed-fit shirt from LATTINE features blue and white stripes with a polo collar and embroidered logo, perfect for casual and modern looks.""}",Shirt,4
URBAN STYLE Black Flame Graphic T-Shirt,https://drive.google.com/uc?export=download&id=1FRArY84Wd6BO5kfh6E9ls1awTcGq-Sly,"เสื้อยืดสีดำลายกราฟิกไฟ จากแบรนด์ URBAN STYLE

เสื้อยืดแขนสั้นทรงหลวม ดีไซน์ลายกราฟิกไฟสีแดงที่หน้าอกบนพื้นผ้าสีดำ ให้ความรู้สึกเท่และทันสมัย เหมาะสำหรับการแต่งตัวสไตล์สตรีทหรือใส่สบายๆ ในวันหยุด

วัสดุ: ผ้าฝ้าย 100% – เนื้อผ้านุ่ม สวมใส่สบาย

สี: ดำ (ลายกราฟิกไฟสีแดง)

ทรง: ทรงหลวม

ปกเสื้อ: ปกกลม

กระเป๋า: ไม่มี

จุดเด่น: ลายพิมพ์กราฟิกไฟสุดเท่

เหมาะสำหรับ: ใส่เที่ยว, วันหยุด, สไตล์สตรีท

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อนด้านใน","URBAN STYLE Black Flame Graphic T-Shirt

This loose-fit black t-shirt from URBAN STYLE features a striking red flame graphic on the chest. Designed for a cool and modern look, it's perfect for street style outfits or casual weekend wear.

Material: 100% Cotton – soft and comfortable

Color: Black with red flame graphic

Fit: Loose fit

Collar: Crew neck

Pocket: None

Highlight: Bold flame graphic design

Ideal for: Casual outings, weekends, street style

Care Instructions: Machine wash on gentle cycle / Avoid tumble drying / Iron on low heat inside out","{""product_name"": ""URBAN STYLE Black Flame Graphic T-Shirt"", ""brand"": ""URBAN STYLE"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Short-Sleeve Shirt"", ""style"": ""Streetwear"", ""color"": ""Black with red flame graphic"", ""material"": ""100% Cotton"", ""features"": {""fit"": ""Loose"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""Flame graphic"", ""lightweight"": true, ""breathable"": true}, ""ideal_for"": [""Casual outings"", ""Weekends"", ""Street style""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid tumble drying"", ""Iron on low heat inside out""], ""description"": ""Loose-fit black t-shirt with a bold red flame graphic, perfect for street style and casual wear.""}",Shirt,5
GENANX Black Wolf Graphic T-Shirt,https://drive.google.com/uc?export=download&id=1RVLdagdXGzZSfTCUP4FN2UoZ_bX9sCZj,"เสื้อยืดกราฟิกลายหมาป่าสีดำ จากแบรนด์ GENANX

เสื้อยืดแขนสั้นทรงหลวม ดีไซน์ลวดลายหมาป่าดุดันในโทนสีดำและแดง ตัดกับพื้นผ้าสีดำเข้มอย่างลงตัว ให้ความรู้สึกเท่และมีสไตล์ มอบลุคสตรีทที่ใส่ได้ทั้งในวันสบายๆ หรือกิจกรรมกลางแจ้ง

วัสดุ: ผ้าฝ้าย – เนื้อหนา นุ่มสบาย

สี: ดำ (ลายหมาป่าสีดำและแดง)

ทรง: Oversized / Relaxed fit

ปกเสื้อ: คอกลม

กระเป๋า: ไม่มี

จุดเด่น: ลายพิมพ์หมาป่าดุดัน

เหมาะสำหรับ: ใส่เที่ยว, กิจกรรมกลางแจ้ง, หรือใส่สบายๆ ทุกวัน

คำแนะนำในการดูแล: ซักมือหรือซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อนด้านใน","GENANX Black Wolf Graphic T-Shirt

This oversized short-sleeve T-shirt from GENANX features a bold wolf graphic in black and red tones on a deep black background. Designed to add an edgy and stylish touch to your streetwear look, it's perfect for casual days and outdoor activities.

Material: Cotton – thick and comfortable

Color: Black with black and red wolf graphic

Fit: Oversized / Relaxed fit

Collar: Crew neck

Pocket: None

Highlight: Bold wolf graphic

Ideal for: Casual outings, outdoor activities, or everyday comfort

Care Instructions: Hand wash or gentle machine wash / Avoid tumble drying / Iron on low heat inside out","{""product_name"": ""GENANX Black Wolf Graphic T-Shirt"", ""brand"": ""GENANX"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Short-Sleeve Shirt"", ""style"": ""Streetwear / Casual"", ""color"": ""Black with black and red wolf graphic"", ""material"": ""Cotton"", ""features"": {""fit"": ""Oversized"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""Wolf graphic"", ""lightweight"": false, ""breathable"": true}, ""ideal_for"": [""Casual outings"", ""Outdoor activities"", ""Everyday comfort""], ""care_instructions"": [""Hand wash or gentle machine wash"", ""Avoid tumble drying"", ""Iron on low heat inside out""], ""description"": ""Oversized T-shirt with a bold wolf graphic, perfect for streetwear and casual outings.""}",Shirt,6
CLASSIC COMFORT Navy Crew Neck Sweater,https://drive.google.com/uc?export=download&id=1BRTdHAgWHm8Lay5zs-aN99ZOcZtkTfV2,"เสื้อสเวตเตอร์คอกลมสีกรมท่า จากแบรนด์ CLASSIC COMFORT

เสื้อสเวตเตอร์แขนยาวทรงพอดีตัว ดีไซน์เรียบง่ายในโทนสีกรมท่า ให้ความรู้สึกอบอุ่นและคลาสสิก เหมาะสำหรับการสวมใส่ในวันสบายๆ หรือในวันที่อากาศเย็น

วัสดุ: ผ้าฝ้ายผสม – เนื้อหนานุ่ม ให้ความอบอุ่น

สี: กรมท่า

ทรง: พอดีตัว

ปกเสื้อ: คอกลม

กระเป๋า: ไม่มี

ลายพิมพ์: ไม่มี

จุดเด่น: ดีไซน์เรียบง่ายและคลาสสิก

เหมาะสำหรับ: ใส่ในวันสบายๆ, วันทำงาน, หรือเมื่ออากาศเย็น

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการอบร้อน / รีดด้วยไฟอ่อน","CLASSIC COMFORT Navy Crew Neck Sweater

This long-sleeve sweater features a simple and classic design in a navy tone, offering warmth and timeless style. Perfect for casual days or cooler weather, it provides a comfortable fit for any occasion.

Material: Cotton blend – thick and soft for warmth

Color: Navy

Fit: Regular fit

Collar: Crew neck

Pocket: None

Print: None

Highlight: Simple and classic design

Ideal for: Casual days, workdays, or cooler weather

Care Instructions: Machine wash on gentle cycle / Avoid tumble drying / Iron on low heat","{""product_name"": ""CLASSIC COMFORT Navy Crew Neck Sweater"", ""brand"": ""CLASSIC COMFORT"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Navy"", ""material"": ""Cotton blend"", ""features"": {""fit"": ""Regular"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""None"", ""lightweight"": false, ""breathable"": true}, ""ideal_for"": [""Casual days"", ""Workdays"", ""Cooler weather""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid tumble drying"", ""Iron on low heat""], ""description"": ""This long-sleeve sweater features a simple and classic design in a navy tone, offering warmth and timeless style.""}",Shirt,7
CLASSIC COMFORT Dark Red Sweater,https://drive.google.com/uc?export=download&id=1UP2bDDaHXsxoIvCGJIABAXnGgn3_MOwy,"เสื้อสเวตเตอร์สีแดงเข้มจากแบรนด์ CLASSIC COMFORT

เสื้อสเวตเตอร์แขนยาวทรงพอดีตัว ให้ความอบอุ่นและสบายในทุกๆ วัน โดดเด่นด้วยสีแดงเข้มที่เพิ่มความคลาสสิกให้กับลุคของคุณ เหมาะสำหรับใส่ในวันที่อากาศเย็นหรือในโอกาสลำลอง

วัสดุ: ผ้าฝ้ายผสม – เนื้อหนานุ่ม อบอุ่น

สี: แดงเข้ม

ทรง: Regular fit

ปกเสื้อ: ปกกลม

กระเป๋า: ไม่มี

ลายพิมพ์: ไม่มี

จุดเด่น: สีแดงเข้มคลาสสิก

เหมาะสำหรับ: ใส่ในวันที่อากาศเย็น, วันสบายๆ, หรือใส่ลำลอง

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการใช้น้ำยาฟอกขาว / ตากในที่ร่ม","CLASSIC COMFORT Dark Red Sweater

This long-sleeve sweater features a regular fit, providing warmth and comfort for everyday wear. The deep red color adds a touch of classic style to your look, making it perfect for cooler days or casual occasions.

Material: Cotton blend – thick and soft, warm

Color: Dark red

Fit: Regular fit

Collar: Crew neck

Pocket: None

Print: None

Highlight: Classic dark red color

Ideal for: Cooler days, casual outings, or relaxed wear

Care Instructions: Machine wash on gentle cycle / Avoid bleach / Dry in shade","{""product_name"": ""CLASSIC COMFORT Dark Red Sweater"", ""brand"": ""CLASSIC COMFORT"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Dark red"", ""material"": ""Cotton blend"", ""features"": {""fit"": ""Regular"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""None"", ""lightweight"": false, ""breathable"": false}, ""ideal_for"": [""Cooler days"", ""Casual outings"", ""Relaxed wear""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid bleach"", ""Dry in shade""], ""description"": ""This long-sleeve sweater features a regular fit, providing warmth and comfort for everyday wear. The deep red color adds a touch of classic style to your look.""}",Shirt,8
CLASSIC COMFORT Brown Sweater,https://drive.google.com/uc?export=download&id=19XObl5YlvqtSjG7QXAbgTLy0SoagtPKT,"เสื้อสเวตเตอร์สีน้ำตาลจากแบรนด์ CLASSIC COMFORT

เสื้อสเวตเตอร์แขนยาวทรงพอดีตัว ทำจากผ้าคอตตอนผสมโพลีเอสเตอร์ ให้ความอบอุ่นและสบาย เหมาะสำหรับสวมใส่ในวันที่อากาศเย็น ด้วยดีไซน์เรียบง่ายและสีสันที่คลาสสิก ทำให้สามารถจับคู่กับเสื้อผ้าอื่นได้หลากหลาย

วัสดุ: คอตตอนผสมโพลีเอสเตอร์ – ให้ความอบอุ่นและทนทาน

สี: น้ำตาล

ทรง: พอดีตัว

ปกเสื้อ: คอกลม

กระเป๋า: ไม่มี

ลายพิมพ์: ไม่มี (สีพื้น)

จุดเด่น: ดีไซน์เรียบง่ายและคลาสสิก

เหมาะสำหรับ: ใส่ในวันสบายๆ, อากาศเย็น, หรือวันทำงานที่ไม่เป็นทางการ

คำแนะนำในการดูแล: ซักเครื่องโหมดถนอมผ้า / หลีกเลี่ยงการใช้น้ำยาฟอกขาว / ตากในที่ร่ม","CLASSIC COMFORT Brown Sweater

This long-sleeve sweater from CLASSIC COMFORT offers a snug fit crafted from a cotton-polyester blend, providing warmth and comfort. Its simple design and classic brown color make it versatile for pairing with various outfits, ideal for cooler days.

Material: Cotton-polyester blend – warm and durable

Color: Brown

Fit: Regular fit

Collar: Crew neck

Pocket: None

Print: None (solid color)

Highlight: Simple and classic design

Ideal for: Casual days, cool weather, or relaxed workdays

Care Instructions: Machine wash on gentle cycle / Avoid bleach / Dry in shade","{""product_name"": ""CLASSIC COMFORT Brown Sweater"", ""brand"": ""CLASSIC COMFORT"", ""category"": ""Men's Clothing"", ""type"": ""Shirt"", ""shirt_type"": ""Long-Sleeve Shirt"", ""style"": ""Casual"", ""color"": ""Brown"", ""material"": ""Cotton-polyester blend"", ""features"": {""fit"": ""Regular"", ""collar"": ""Crew neck"", ""pocket"": ""None"", ""print"": ""Solid"", ""lightweight"": false, ""breathable"": false}, ""ideal_for"": [""Casual days"", ""Cool weather"", ""Relaxed workdays""], ""care_instructions"": [""Machine wash on gentle cycle"", ""Avoid bleach"", ""Dry in shade""], ""description"": ""This long-sleeve sweater from CLASSIC COMFORT offers a snug fit crafted from a cotton-polyester blend, providing warmth and comfort. Its simple design and classic brown color make it versatile for pairing with various outfits, ideal for cooler days.""}",Shirt,9
